ID	OBJECTID	GoRI_TestFlag	GoRI_subset	F_Name	F_Type	Street	Town	OwnerTyp	P_Ground	B_Field	S_Field	F_Field	M_Field	B_Court	T_Court	V_Court	Track	SkatPark	IH_Rink	SH_Rink	Golf	Fishing	Boating	Hunting	Trails	Beach	Pool	ActiveRec	RestRoom	W_Path	B_Path	StateGrant	LWCFGrant	Lon	Lat	Conservation.Area	Description	Are.there.additional.names.for.this.recreational.area	Should.Be.Included.in.GoRI.	Not.Included..Why.	Allow.Dogs	Restrooms.Available.	Americans.with.Disabilities.Act..ADA..Parking	Stroller.Friendly	Picnic.Area	Acres.Miles	Contact.Info	Contact.Info.Seasonal	Link.for.More.Info
1	1	NA	N	Quinnville Playground	Local Park	Martin	Lincoln	MUN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.51155515	41.75207533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	NA	N	Berkeley Oval	Local Park	Martin	Cumberland	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.34528756	41.88639259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	1	Y	Spring Grove Beach	Local Park	Spring Grove	Glocester	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N	N	-71.38240482	41.81060238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	4	NA	Y	Lime Acres	Local Park	Jenckes Hill	Lincoln	MUN	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.47159759	41.84820321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	5	NA	N	Lonsdale Park / Sam Moore Field	Local Park	River	Lincoln	MUN	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.48366356	41.63710485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	6	NA	N	Lincoln Almond Little League	Local Park	Lonsdale	Lincoln	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.44360105	41.96369436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	7	NA	N	Heritage Park	Conservation Area	Chestnut Oak	Glocester	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.68619008	41.63929988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	8	NA	N	Russell Lane Field	Local Park	Russell	Smithfield	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.36843788	41.87414987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	9	NA	N	Crossman St. Playground	Local Park	Crossman	Central Falls	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.52194837	41.46387404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	10	NA	N	Sacred Heart Avenue Playground	Local Park	High Street	Central Falls	MUN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.62533221	41.66588227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	11	1	N	Jenks Park	Local Park	Summit	Central Falls	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Y	Y	-71.4929287	41.86564367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	12	NA	N	Mendes Field	Local Park	Louise Ann	Smithfield	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.42516672	41.90922216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	13	NA	N	Galego Court Field	Local Park	Leonard Jenard	Pawtucket	MUN	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.5320006	41.84130031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	14	NA	N	Esmond / War Memorial Park	Local Park	Farnum Pike	Smithfield	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.29998844	41.74818174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	15	NA	N	Byron-Winsor Park	Local Park	Winsor Park	Glocester	MUN	1	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.45646622	41.6026252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	16	NA	N	Laurel Hill Playground	Local Park	Lonsdale	Pawtucket	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.47315269	41.58142007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	17	NA	N	Burgess Field	Local Park	Albert	Smithfield	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.20302047	41.54493826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	18	NA	N	Wilkinson Park	Local Park	Park	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.47031642	41.54067467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	19	NA	N	Collyer Park	Local Park	Main	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.24299068	41.48052468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	20	NA	N	Mccoy Stadium	Athletic Facility	Bend	Pawtucket	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.4609173	41.43964766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	21	NA	N	John Santos Park	Local Park	Mineral Spring	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.58502628	41.38295796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	22	NA	N	Pleasant St. Park	Local Park	Division	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.67544304	41.34807129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	23	NA	Y	Slater Park	Local Park	Pawtucket	Pawtucket	MUN	0	9	0	0	1	0	10	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	Y	Y	-71.5620784	41.20854164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	24	NA	N	Payne Park	Local Park	Randall	Pawtucket	MUN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.59078978	41.15257053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	25	NA	N	Randall St. Park	Local Park	Randall	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.24639464	41.69712892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	26	NA	N	Dean Ave. Field	Local Park	Adams	Johnston	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.55272771	42.01098685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	27	NA	N	Berkeley Park	Local Park	Polo	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.26147032	41.55591511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	28	1	Y	Max Read Field	Local Park	Pleasant	Pawtucket	MUN	0	0	2	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Y	Y	-71.50645569	41.60826271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	30	NA	N	Deninno Memorial Field	Local Park	Alexander	North Providence	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.44660116	42.01312872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	31	NA	N	Wanskuck Park	Local Park	Woodward	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.54101704	41.90761051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	32	NA	N	Morley Field	Local Park	Moshassuck	Pawtucket	MUN	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.75236647	41.83379245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	33	NA	Y	Blackstone Blvd. Park	Local Park	Blackstone	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	N	Y	-71.32167619	41.75303517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	34	NA	Y	Stephen Olney Park	Local Park	Smithfield	North Providence	MUN	2	4	0	0	1	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	Y	Y	-71.20941082	41.58218504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	35	NA	N	Lynne Bourne Memorial Park	Local Park	Alma	East Providence	MUN	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.78637554	41.57405751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	36	NA	N	Hopkins Square	Local Park	Charles	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.47007532	41.53821344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	37	NA	N	Prete-Metcalf Field	Local Park	Charles	Providence	MUN	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.34235338	41.45435982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	38	NA	Y	Kimberly Ann Rock Memorial Athletic Complex	Athletic Facility	Ferris	East Providence	MUN	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	N	N	-71.69017184	41.43840127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	39	NA	N	Corliss Park	Local Park	Fernando	Providence	MUN	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.48584687	41.36221751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	NA	N	General St. Playground	Local Park	General	Providence	MUN	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.72224585	41.33657338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	41	NA	N	Gorham Field	Local Park	Hartford Pike	Scituate	MUN	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.70395425	41.95180725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	42	NA	N	Mount Hope Community Garden	Local Park	Knowles	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.60088324	41.98708714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	43	NA	N	Hopkins Park	Local Park	Admiral	Providence	MUN	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.61373137	41.64443577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	44	1	Y	Blackstone Park / Patterson Park	Local Park	Parkside	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	N	Y	-71.75287407	41.50233956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	45	1	Y	Father Lennon Park	School	Camden	Providence	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	N	N	-71.77915789	41.5086685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	47	NA	N	Davis Park	Local Park	Chalkstone	Providence	MUN	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.57110699	41.63113431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	48	NA	N	West Park	Local Park	Mount Pleasant	Providence	MUN	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.5149968	41.37882818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	49	NA	N	Johnston Memorial Park	Local Park	Memorial	Johnston	MUN	1	4	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Y	Y	-71.42659672	41.89469397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	50	NA	N	Regent Ave. Playground	Local Park	Regent	Providence	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.75683037	41.69536241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	51	NA	N	Prospect Terrace Park	Local Park	Congdon	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.71777127	41.56175716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	52	NA	N	Constance Witherby Park	Local Park	Waterman	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.74579559	41.59833597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	53	NA	N	Burnside Park	Local Park	Washington	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.72078324	41.58025856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	54	NA	N	Memorial Park	Local Park	South Main	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.73101312	41.58738217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	55	NA	N	Onna Moniz-John Neighborhood Park	Local Park	Central	East Providence	MUN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.72031105	41.595625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	56	1	Y	Angelo Zuccolo Pool	Local Park	Gesler	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	N	N	-71.71899383	41.57950766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	57	NA	Y	John Donigian Memorial Park	Local Park	Valley	Providence	MUN	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	N	Y	-71.70903311	41.58768743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	58	NA	N	Garibaldi Square	Local Park	Atwells	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.72913979	41.56466939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	59	NA	N	Fenner Square	Local Park	Governor	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.76062965	41.61254977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	60	NA	N	Martello Street Playground	Local Park	Martello	East Providence	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.74319872	41.84536618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	61	1	N	Cabral Park	Local Park	Wickenden	Providence	MUN	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	N	N	-71.71673354	41.50318705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	62	NA	Y	India Point Park	Local Park	India	Providence	MUN	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Y	Y	-71.70184395	41.48576682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	63	NA	N	Dexter Training Ground	Local Park	Parade	Providence	MUN	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.69019958	41.46635721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	64	NA	N	Wallace St. Park	Local Park	Wallace	Providence	MUN	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.53833316	41.37350224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	65	NA	N	Cerbo Square	Local Park	Murray	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.76349195	41.33042917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	66	NA	N	Waldo St. Totlot	Local Park	Waldo	Providence	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.69007646	41.34448545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	67	NA	N	Richardson Park	Local Park	Ocean	Providence	MUN	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.4645012	41.40003629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	68	NA	N	Pocasset Field	Local Park	Spruce	Johnston	MUN	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.55462504	41.17415685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	69	NA	N	Columbus Square Park	Local Park	Elmwood	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.74253264	41.91448137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	70	NA	N	Rainone Playground	Local Park	Mill	Johnston	MUN	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.24241219	41.68758193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	71	1	Y	Roger Williams Park	Local Park	Elmwood	Providence	MUN	1	4	0	0	2	0	10	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	Y	Y	-71.69631572	41.54090109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	72	NA	N	Drummond Field	Local Park	Indiana	Providence	MUN	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.38306105	41.74860601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	73	NA	N	Boyden Heights Conservation Area	Local Park	Boyden	East Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.71715315	41.51567743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	74	NA	N	Columbia Park	Local Park	Vermont	Providence	MUN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.36469085	41.7044193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	75	NA	N	Highland Park	Local Park	Southern	Cranston	MUN	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.54636063	41.90090185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	76	NA	N	Spectacle Pond Field	Local Park	Cottage	Cranston	MUN	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.23081264	41.63385044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	77	NA	N	Stone Hill Field	Local Park	Elena	Cranston	MUN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.37985377	41.86893771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	78	NA	N	Washington Park Square	Local Park	Eddy	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.61887775	41.66522839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	79	NA	N	Joseph Williams Field	Local Park	Elmwood	Providence	MUN	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.7878003	41.92452215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	80	NA	N	Cranston Stadium / Stebbins Field	Athletic Facility	Midwood	Cranston	MUN	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.71816035	41.92723289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	81	NA	N	Foster Town House Field	Local Park	Howard Hill	Foster	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.75835699	41.9173022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	82	NA	N	Knightsville Park	Local Park	Cranston	Cranston	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.74182579	41.52329467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	83	NA	N	Friendly Community	Local Park	Doric	Cranston	UNK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.42773712	41.88947957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	84	NA	N	Veterans' Park	Local Park	Pontiac	Cranston	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.77004476	41.69744185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	85	NA	N	Comstock Gardens	Local Park	Wildflower	Cranston	MUN	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.72243714	41.43810936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	86	1	Y	Beachmont / Hayes Field	Local Park	Calvin	Cranston	MUN	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	N	Y	-71.751404	41.49929845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	87	1	Y	Stillhouse Cove	Local Park	Narragansett	Cranston	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N	N	-71.71664004	41.49842334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	88	1	Y	Aqueduct Field	Local Park	Aqueduct	Cranston	MUN	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	N	N	-71.62826816	41.4923402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	89	1	Y	Osamequin Nature Trail	Local Park	Wampanoag	Barrington	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	N	N	-71.681354	41.44525056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	90	NA	N	Grassy Plain Park	Local Park	Tanglewood	East Providence	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.56440216	41.49913784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	91	1	Y	Sabin Point Park	Local Park	Shore	East Providence	MUN	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	Y	Y	-71.45019861	41.46699509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	92	NA	N	Pawtuxet Village Park	Local Park	View	Warwick	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N	Y	-71.45379312	41.63094661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	93	NA	N	Wellington Ave Park	Local Park	Wellington	Cranston	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.80036587	41.38182109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	94	NA	N	Providence Avenue Playground & Athletic Area	Local Park	Sunset	East Providence	MUN	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.84104449	41.39451304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	95	NA	N	Sherman Ave. Field	Local Park	Cranston	Cranston	MUN	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.70377555	41.5957219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	96	NA	N	Sherwood Park	Local Park	Congress	Barrington	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.74828321	41.40629717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
